"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Networkx #Datascience #Bigdata Tools is out! https://t.co/nhizjSvaOi #rstats #python Stories via @quality_jamie @PlainSpeak13 @lisa_monk",FALSE,1,NA,2016-02-23 04:14:02,FALSE,NA,"701983327536988160",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","jletteboer",2,FALSE,FALSE,NA,NA
"RT @Rbloggers: Latest Redmonk and Tiobe language rankings for R https://t.co/lVWw17oEPB #rstats #DataScience",FALSE,0,NA,2016-02-23 04:13:49,FALSE,NA,"701983275640758272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wtibrentdubai",4,TRUE,FALSE,NA,NA
"RT @reichlab: Like the looks of broom package for #rstats by @drob. Sadly, too late to include in my MLR lecture this week. https://t.co/0y…",FALSE,0,NA,2016-02-23 04:10:38,FALSE,NA,"701982474897723392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nekrum",2,TRUE,FALSE,NA,NA
"Latest Redmonk and Tiobe language rankings for R https://t.co/lVWw17oEPB #rstats #DataScience",FALSE,1,NA,2016-02-23 04:10:09,FALSE,NA,"701982349936893953",NA,"<a href=""http://www.r-bloggers.com"" rel=""nofollow"">r-bloggers.com</a>","Rbloggers",4,FALSE,FALSE,NA,NA
"RT @BrockTibert: A really solid post on machine learning in #rstats with caret.  https://t.co/QmwV8jAZFk",FALSE,0,NA,2016-02-23 04:06:59,FALSE,NA,"701981553497276416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nekrum",1,TRUE,FALSE,NA,NA
"RT @JennyBryan: How to report abusive behaviour on twitter: https://t.co/UtF0H5FUue #rstats",FALSE,0,NA,2016-02-23 04:06:41,FALSE,NA,"701981480529088512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wrathematics",4,TRUE,FALSE,NA,NA
"""Rstats"" on Tweeted Times #rstats https://t.co/X6haMFDKGP - top stories by @mmeierer, @earlconf, @S_Foroutan",FALSE,1,NA,2016-02-23 04:00:01,FALSE,NA,"701979800592900096",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","sfrechette",0,FALSE,FALSE,NA,NA
"RT @sandakano: Manipulating data frames in #rstats with #SQL : https://t.co/ftiLgOKwaH",FALSE,0,NA,2016-02-23 03:56:59,FALSE,NA,"701979037619466240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","reiver",2,TRUE,FALSE,NA,NA
"RT @plotlygraphs: Tutorial on using #jupyter notebook with the R kernel:

https://t.co/FMsqFWx0td

#rstats #jupyterday https://t.co/MMg9cIs…",FALSE,0,NA,2016-02-23 03:45:13,FALSE,NA,"701976075094458369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","biobenkj",10,TRUE,FALSE,NA,NA
"RT @Physical_Prep: Sooo many books, sooo little time... @DavidGJoyce @rlmcelreath #RStats https://t.co/hnbUmiEmp5",FALSE,0,NA,2016-02-23 03:41:42,FALSE,NA,"701975193057529856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jymyrna",2,TRUE,FALSE,NA,NA
